Ground,reSASC,Dollo-k,PP,infSCITE,Measure
-1899.6474782236505,-1725.832439,-1866.336381,-2084.857439,0.0,Log-Likelihood
-1716.3273393473116,-1576.424674,-1749.415092,-1838.93267,0.0,Log-Likelihood
-1570.3855388148472,-1400.718129,-1527.824498,-1729.271565,0.0,Log-Likelihood
-1903.138474880891,-1806.869339,-2040.567276,-2163.813541,0.0,Log-Likelihood
-1702.6015611366229,-1669.290464,-1743.395557,-2003.653034,0.0,Log-Likelihood
-2168.472550149707,-1935.847102,-2225.771185,-2633.358174,0.0,Log-Likelihood
-1533.1474484307328,-1340.596916,-1420.275535,-1670.305635,0.0,Log-Likelihood
-1951.8310316985628,-1764.736223,-1971.639014,-2238.839864,0.0,Log-Likelihood
-2004.750815121167,-1838.642019,-1973.003084,-2145.993502,0.0,Log-Likelihood
-2066.6254795168934,-1902.413793,-2093.376834,-2345.529818,0.0,Log-Likelihood
-1620.75150429161,-1397.376,-1740.590262,-1801.199643,0.0,Log-Likelihood
-1342.6913420304893,-1203.056536,-1379.089514,-1569.153921,0.0,Log-Likelihood
-1906.494567806521,-1715.605539,-1911.12567,-2144.468821,0.0,Log-Likelihood
-1539.9231037216366,-1413.77142,-1485.8616,-1681.617337,0.0,Log-Likelihood
-1538.251762104844,-1345.701229,-1400.717419,-1681.843106,0.0,Log-Likelihood
-1984.447547766724,-1799.485455,-2030.566876,-2317.266089,0.0,Log-Likelihood
-1610.1279718591966,-1440.107153,-1731.799333,-1940.83484,0.0,Log-Likelihood
-1798.2242727079397,-1613.379983,-1747.956989,-1864.034107,0.0,Log-Likelihood
-1427.7562781618703,-1196.910137,-1212.440426,-1442.344143,0.0,Log-Likelihood
-1339.193254850623,-1264.263541,-1250.983771,-1389.826209,0.0,Log-Likelihood
-1329.0456005086712,-1140.407091,-1176.45218,-1421.532778,0.0,Log-Likelihood
-1065.6357000456323,-946.836851,-1121.488772,-1245.15433,0.0,Log-Likelihood
-1762.1827668411186,-1548.646221,-1726.458506,-1859.609614,0.0,Log-Likelihood
-1592.764654187536,-1436.141408,-1844.894889,-1924.691312,0.0,Log-Likelihood
-1778.7364166751022,-1718.983583,-1700.012483,-1791.427171,0.0,Log-Likelihood
-1459.472167802059,-1422.249048,-1603.941102,-1856.610139,0.0,Log-Likelihood
-1563.5587592065538,-1410.61193,-1526.453442,-1753.750475,0.0,Log-Likelihood
-1431.0838851390429,-1281.931276,-1545.220102,-1714.4163,0.0,Log-Likelihood
-1744.5617981759428,-1587.938552,-1716.942031,-1979.096618,0.0,Log-Likelihood
-1428.959546539723,-1251.468091,-1369.08891,-1691.951016,0.0,Log-Likelihood
-1637.1434650650986,-1493.682186,-1791.097949,-1928.043277,0.0,Log-Likelihood
-1542.3660215169134,-1397.007632,-1516.643364,-1833.814141,0.0,Log-Likelihood
-1691.5023506147475,-1601.160151,-1603.175064,-1806.519241,0.0,Log-Likelihood
-1613.2176017676454,-1422.446376,-1717.900523,-2083.783345,0.0,Log-Likelihood
-1375.5377540287259,-1298.71093,-1533.457557,-1843.039894,0.0,Log-Likelihood
-1291.6668557418725,-1163.264653,-1224.325582,-1469.406179,0.0,Log-Likelihood
-1440.8790129807835,-1264.931258,-1447.407226,-1698.179153,0.0,Log-Likelihood
-1531.1100904861376,-1351.485919,-1397.252164,-1570.242582,0.0,Log-Likelihood
-1578.3855628364206,-1395.084974,-1533.540371,-1676.059226,0.0,Log-Likelihood
-1408.585458340343,-1223.387759,-1485.424543,-1674.919601,0.0,Log-Likelihood
-1538.194621088446,-1326.790792,-1573.532893,-1712.257528,0.0,Log-Likelihood
-1891.0565795107827,-1789.213917,-2133.917206,-2383.598357,0.0,Log-Likelihood
-1298.6136412387216,-1206.492135,-1274.788094,-1462.955392,0.0,Log-Likelihood
-1488.884207600831,-1351.349864,-1284.951015,-1419.999233,0.0,Log-Likelihood
-1740.1037027942875,-1691.497923,-1830.104755,-2001.198062,0.0,Log-Likelihood
-1552.0709049644634,-1366.991009,-1577.570217,-1727.795315,0.0,Log-Likelihood
-1283.514404313789,-1091.081675,-1100.567225,-1210.985266,0.0,Log-Likelihood
-1364.9187588901004,-1263.076096,-1448.797977,-1712.849674,0.0,Log-Likelihood
-1526.216655480626,-1322.047857,-1524.575867,-1627.373216,0.0,Log-Likelihood
-1337.4401201152855,-1241.288787,-1438.361074,-1702.993332,0.0,Log-Likelihood
