reSASC,Dollo-k,PP,Measure
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,Recurrences Jaccard
