Ground,reSASC,Dollo-k,PP,Measure
-1790.244299727372,-1606.773842,-1589.582049,-2164.414829,Log-Likelihood
-922.7178776369673,-730.178676,-714.76619,-851.947124,Log-Likelihood
-1349.354022393658,-1165.527605,-1161.615582,-1412.623115,Log-Likelihood
-1479.363819320634,-1318.408694,-1384.807544,-1706.008147,Log-Likelihood
-1358.3542417817553,-1154.072274,-1146.483834,-1405.079808,Log-Likelihood
-1190.7102682516593,-1014.616587,-1063.941447,-1292.18366,Log-Likelihood
-1555.1649290245045,-1497.701304,-1404.742915,-2025.170841,Log-Likelihood
-1509.184040925114,-1309.157759,-1329.38425,-1557.390857,Log-Likelihood
-1873.3455085652492,-1717.917915,-1704.638145,-2181.401767,Log-Likelihood
-1261.8620002222553,-1073.850784,-1075.747894,-1374.183177,Log-Likelihood
-1444.4399385445145,-1289.124395,-1285.330175,-1610.324997,Log-Likelihood
-1325.2149636246763,-1388.198001,-1351.733617,-1776.759215,Log-Likelihood
-1183.8383697618922,-966.171279,-1191.927368,-1567.176559,Log-Likelihood
-1410.9385390457212,-1233.341723,-1220.061953,-1378.111097,Log-Likelihood
-1128.7026567336309,-937.366877,-990.25035,-1449.294914,Log-Likelihood
-1123.263827935179,-948.212187,-1130.589178,-1317.094971,Log-Likelihood
-1177.9396982176258,-1025.672952,-1213.109512,-1579.840754,Log-Likelihood
-1728.1194570485468,-1582.067911,-1718.65983,-1994.329793,Log-Likelihood
-1449.5622985680639,-1227.332897,-1366.832312,-1637.998481,Log-Likelihood
-1183.8763678384407,-974.199769,-1106.997468,-1324.873458,Log-Likelihood
-1626.3286148851503,-1408.243203,-1451.876733,-1798.895048,Log-Likelihood
-1330.4602775577741,-1156.763042,-1151.071712,-1335.562592,Log-Likelihood
-1476.902378748376,-1357.231694,-1358.99967,-1608.110093,Log-Likelihood
-1902.6683853461236,-1694.835612,-1679.658732,-1979.991125,Log-Likelihood
-1026.180869074461,-964.437563,-1171.433007,-1511.035359,Log-Likelihood
-1459.0594820316649,-1385.389092,-1358.593947,-1583.04194,Log-Likelihood
-1464.2561276861534,-1341.660951,-1335.969621,-1672.347104,Log-Likelihood
-1339.7857499184272,-1220.719503,-1243.484823,-1631.084275,Log-Likelihood
-1547.215721749811,-1331.551664,-1333.566577,-1470.511905,Log-Likelihood
-1304.6520768056278,-1266.28455,-1698.780607,-1994.341346,Log-Likelihood
-1558.9496656833144,-1348.370465,-1390.46642,-1754.849006,Log-Likelihood
-1483.614335636167,-1330.353629,-1326.441606,-1609.700009,Log-Likelihood
-1961.0528809245766,-1795.933884,-1761.668101,-2060.103384,Log-Likelihood
-1533.639060550798,-1445.087499,-1441.293279,-1834.584061,Log-Likelihood
-1032.7562627827679,-923.526583,-921.629473,-1178.328336,Log-Likelihood
-1978.5557647633523,-1914.680187,-1890.017757,-2230.18946,Log-Likelihood
-1795.0287836703396,-1641.526545,-1649.232788,-1782.383896,Log-Likelihood
-1560.7546003786467,-1494.563895,-1515.432105,-1842.324037,Log-Likelihood
-1343.6350877551392,-1198.111464,-1184.596088,-1441.294951,Log-Likelihood
-1480.8811464187304,-1271.18878,-1261.70323,-1539.270303,Log-Likelihood
-2314.8709562210333,-2313.473285,-2260.354205,-2742.809157,Log-Likelihood
-1459.8962404087338,-1268.719529,-1367.369249,-1710.883624,Log-Likelihood
-1332.411967144069,-1283.884357,-1236.221001,-1477.13017,Log-Likelihood
-1408.876028346974,-1291.40181,-1549.09466,-1752.126136,Log-Likelihood
-1334.833500439432,-1191.383552,-1134.470252,-1419.625765,Log-Likelihood
-924.2756518601858,-777.221575,-750.42643,-957.800433,Log-Likelihood
-1219.817843398488,-1019.210614,-1080.44677,-1303.896286,Log-Likelihood
-1332.5141581693385,-1132.997635,-1288.562768,-1513.010762,Log-Likelihood
-1355.8997822866,-1402.887584,-1425.652904,-1828.429236,Log-Likelihood
-1721.9967937122142,-1613.099335,-1707.922581,-2046.229427,Log-Likelihood
